brand,discounted_price,product_name,retail_price,uniq_id
Sale,599,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",2499,137f121c9d6bc7a57276601492659060
Steppings,1099,Steppings Trendy Boots,2199,d6769423b5a242f243dfac15cf2c099b
Britex,699,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",1990,c627c22b7509fbcda4f345a2c2d71765
TSG,2650,TSG Kelz Boots,2650,e160675a10e0ecdf05e0d33f5a5f6da9
3wish,995,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",2999,b0a058029072532046d05ac98ff1cae9
J.D.H.,599,J.D.H. 111-222 Boots,1500,4620e6de2e02c35d401247a94825710b
Disney,900,"Disney 98189 Analog Watch  - For Boys, Girls",1800,4aa047f14885c74f155ce5f973e14dff
Get,2239,Get Glamr Designer Snowra Boots,2799,3e8b8d026d02a3979ed49fb219862a18
Lenco,849,"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",1999,feb1e09790d2e4ed3c7a2f340b29b5d2
Pinza,1900,Pinza Black Christmas Boots,3350,ac04e44ba4ee07a49665d416c83c5759
Kielz,1299,Kielz Ladies Boots,2799,ec45690035642743c94f24fd34aa50f2
Salt,2621,Salt N Pepper 13-552 Rebacca Almond Boots,3495,1eff9a937b854be00b2b4ff2ffced76c
Rockstar,299,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1299,3ffcf4706979d2f33eef3760e8c9bbd8
